Review,Rating,Location,Date of Experience,Sentiment,cleaned_review,Day,Month,Year
"Fox Rent-A-Car is an absolute disaster, and I would give ZERO STARS if I could. Not only did they fail to provide the service I paid for, but they also lied to my credit card company to avoid refunding $571.12. This company is a SCAM, and their shady practices are nothing short of theft.I booked an 11-day car rental on May 4, 2024, for $571.12, to visit my blind, widowed, 75-year-old auntie with stage 4 cancer. When her health emergency forced me to change my travel dates, Fox Rent-A-Car refused to apply my credit—on THREE separate occasions: June 3rd, June 9th, and July 17th.As a Lahaina wildfire survivor, I was adjusting to traffic disruptions from debris removal and road repairs. I pride myself on punctuality, yet on July 16th, I missed my flight for the first time in 50+ years due to road closures caused by wildfire debris removal, boulders, and guardrail repairs. I called Fox immediately to inform them I’d be 24 hours late and asked them to hold my reservation. Instead of helping, they forced me to cancel and charged $26 to rebook. After 36 minutes of waiting and multiple holds, they claimed ""computer problems"" prevented them from rebooking and told me to try online. I spent hours trying, but it didn’t work.When I arrived at their rental location, they claimed I had no reservation, they were out of cars, and they refused to honor my credit with their sister company. They attempted to charge me over $750 for fewer days than I originally booked—$250 MORE than I already paid—and told me I’d need to return the next day to pick up a car. My destination was 40 minutes away without traffic, leaving me stranded.When I asked for a supervisor, I was pressured to accept the inflated price. After I refused, they hung up on me again. Later that night, I saw the price had increased to $978.80, nearly double my original reservation cost.The worst part? Fox Rent-A-Car lied to my credit card company (Hawaiian Airlines Bank of Hawaii World Elite Mastercard). They falsely claimed they refunded $500 of my $571.12 on May 4th, 2024. This was a LIE—the $500 was a deposit charge unrelated to the $571.12 rental fee. Despite showing my Barclay statement proving this, my credit card company sided with Fox Rent-A-Car, claiming my dispute was only for $71.12 because ""services were rendered.""Fox Rent-A-Car repeatedly promised I could use my credit, but they failed every single time. The final blow? Being abandoned at the airport during a family emergency without a car and with no help from their so-called customer service, which was rude, incompetent, and repeatedly hung up on me.This company’s behavior is beyond unacceptable. They’ve kept over $500 of my money for MONTHS without providing any service. This is corporate greed at its worst—Fox Rent-A-Car feels entitled to keep my money while lying about refunds and failing to deliver the promised service.Let’s not forget that Fox Rent-A-Car is now owned by Europcar Mobility Group, one of Europe’s largest car rental companies. If this is how Europcar operates in the U.S., customers should beware on both continents! It seems Europcar has brought its corporate greed and deceptive practices to the U.S., leaving customers stranded and out hundreds of dollars.If you value your time, money, and sanity, STAY FAR AWAY from Fox Rent-A-Car and Europcar Mobility Group. They are a SCAM, and their predatory behavior should not be tolerated.",1,GB,2024-07-16,Negative,fox rentacar absolute disaster would give zero star could fail provide service pay also lie credit card company avoid refund company scam shady practice nothing short thefti book day car rental may visit blind widow yearold auntie stage cancer health emergency force change travel date fox rentacar refuse apply crediton three separate occasion june rd june th july thas lahaina wildfire survivor adjust traffic disruption debris removal road repair pride punctuality yet july th miss flight first time year due road closure cause wildfire debris removal boulder guardrail repair call fox immediately inform I d hour late ask hold reservation instead helping force cancel charge rebook minute wait multiple hold claim computer problem prevent rebooking tell try online spend hour try do not workwhen arrive rental location claim reservation car refuse honor credit sister company attempt charge few day originally book already paidand tell i d need return next day pick car destination minute away without traffic leave strandedwhen ask supervisor pressured accept inflated price refuse hang later night see price increase nearly double original reservation costthe bad part fox rentacar lie credit card company hawaiian airlines bank hawaii world elite mastercard falsely claim refunded may th liethe deposit charge unrelated rental fee despite show barclay statement prove credit card company side fox rentacar claim dispute service renderedfox rentacar repeatedly promise could use credit fail every single time final blow abandon airport family emergency without car help socalle customer service rude incompetent repeatedly hang methis company behavior beyond unacceptable they ve keep money month without provide service corporate greed worstfox rentacar feel entitle keep money lie refund fail deliver promise servicelet forget fox rentacar own europcar mobility group one europe large car rental company europcar operate we customer beware continent seem europcar bring corporate greed deceptive practice we leave customer strand hundred dollarsif value time money sanity stay far away fox rentacar europcar mobility group scam predatory behavior tolerate,16,July,2024
"Easily the worst car rental experience O have ever had. 1 hour line at San Diego Airport - surly/unhelpful staff, did not have car that I booked, tried to add all sorts of additional fees. NEVER EVER EVER use this company —- go with someone reputable!!!!",1,US,2024-11-15,Negative,easily bad car rental experience ever hour line san diego airport surlyunhelpful staff car book try add sort additional fee never ever ever use company go someone reputable,15,November,2024
"I recently rented a car from Fox at LAX, and I must say, it was an outstanding experience from start to finish. The booking process was seamless and easy, with a user-friendly website that made selecting the perfect vehicle a breeze.When I arrived to pick up the car, the shuttle bus operators and staff were incredibly friendly and professional, offering helpful advice and making sure I had all the information I needed. The car itself was in pristine condition—clean, well-maintained, and ready to go. It was a pleasure to drive, and I appreciated the convenience of picking up and returning the vehicle with minimal hassle.The entire rental experience was efficient, and the pricing was transparent with no hidden fees, which I really appreciated. I also liked that they offered flexible rental terms, which suited my travel plans perfectly.Overall, I highly recommend Fox for anyone in need of a reliable and affordable car rental. Excellent service, great selection of vehicles, and a stress-free process. I will definitely be using them again next time I'm in town!",5,US,2024-11-07,Positive,recently rent car fox lax must say outstanding experience start finish booking process seamless easy userfriendly website make select perfect vehicle breezewhen arrive pick car shuttle bus operator staff incredibly friendly professional offering helpful advice make sure information need car pristine conditionclean wellmaintaine ready go pleasure drive appreciated convenience pick return vehicle minimal hasslethe entire rental experience efficient pricing transparent hide fee really appreciate also like offer flexible rental term suit travel plan perfectlyoverall highly recommend fox anyone need reliable affordable car rental excellent service great selection vehicle stressfree process definitely use next time I m town,7,November,2024
"Lied to and cheated.  Booked my rental car and paid for insurance through Expedia.  Upon arrival at Fox I was told Expedia insurance was not accepted, so I purchased Fox insurance.   Followed up with Expedia, and I was lied to... Fox does accept Expedia's insurance.  Attempts to be reimbursed for the insurance were a hassle, but eventually denied by Fox.  Also, they charge a 450% administrative fee on road tolls.  ",1,GB,2024-10-11,Negative,lie cheat book rental car pay insurance expedia upon arrival fox tell expedia insurance accept purchase fox insurance follow expedia lie fox accept expedias insurance attempt reimburse insurance hassle eventually deny fox also charge administrative fee road toll,11,October,2024
"Rented via AutoEurope.  The rental agreement was with Europcar but they outsourced to Fox Rent a Car.  We were collected by the Fox bus and taken to the off-site rental location.  The agent tried to scam / defraud me into taking their Toll package even though I explained I had my own Toll Transponder and account with SunPass.  He lied and said the plates were locked and that I would not be able to used the transponder on their vehicles.  I challenged him and he got irritated and said I would be charged around $15 dollars for every toll use.  I didn't believe him and declined their Toll package.  The car was a mess.  Scratches both on the outside and on the inside plastic.  The seats were stained and the parcel shelf was missing, making shopping a challenge as all of our purchases were on display to any thief.  The car wobbled due to badly balanced wheels and the Oil service was overdue.  Would not ever rent from them again and will be aware that Europcar do not have their own presence at Orlando MCO.  Worst car I have ever rented and I rent a lot of cars.",1,US,2024-10-19,Negative,rent via autoeurope rental agreement europcar outsource fox rent car collect fox bus take offsite rental location agent try scam defraud take toll package even though explain toll transponder account sunpass lie say plate lock would able use transponder vehicle challenge get irritated said would charge around dollar every toll use do not believe decline toll package car mess scratch outside inside plastic seat stain parcel shelf miss make shopping challenge purchase display thief car wobble due badly balanced wheel oil service overdue would ever rent aware europcar presence orlando mco bad car ever rent rent lot car,19,October,2024
"I firmly believe I was intentionally DECEIVED by the agent at Denver Fox car rental. The agent told me that I would be passing through tolls and a pass was a requirement. Not that the tolls were actually optional express lanes. He talked about how expensive it would be if I chose to pay the tolls myself vs. getting a pass. Never haven driven in the state before, I was expecting toll booths like they have in the northeast where you really are required to pay to drive on the road. This was most definitely a deception. Additionally, I did NOT need the extra insurance and told the agent that. I told him that my insurance policy covered me when driving rentals and he responded ""okay.""At the end, when I asked why the numbers were so HIGH on the paperwork, he LITERALLY told me to IGNORE them because that was just the deposit, which would be returned to me after I returned the vehicle, and not to worry because I already pre-paid through Expedia. He definitely gave me the impression the ONLY additional charges would be for the pass (which I ultimately did not need) and gas if returned at half a tank (I returned it with a full tank). Yes, I should have read every single word of the paperwork and asked more questions. However, I have rented from multiple other car agencies -- Hertz, Enterprise, Budget, Dollar and Thrifty -- without ever occurring a single extra charge and didn't realize that I needed to guard myself against an unscrupulous rental agent. Stupidly, I believed his lies vs. reading the fine print. I believe that the Fox agent knew that I was tired after traveling for many hours, wasn't familiar with the roads or requirements in Colorado, and PREYED upon the fact that I was a single, older female traveling alone. The rental agent and his employer should be ashamed. ",1,CA,2024-10-30,Negative,firmly believe intentionally deceive agent denver fox car rental agent tell would pass toll pass requirement toll actually optional express lane talk expensive would chose pay toll vs get pass never drive state expect toll booth like northeast really require pay drive road definitely deception additionally need extra insurance tell agent tell insurance policy cover driving rental respond okayat end ask number high paperwork literally tell ignore deposit would return return vehicle worry already prepay expedia definitely give impression additional charge would pass ultimately need gas return half tank return full tank yes read every single word paperwork ask question however rented multiple car agency hertz enterprise budget dollar thrifty without ever occur single extra charge do not realize need guard unscrupulous rental agent stupidly believe lie vs read fine print believe fox agent know tired travel many hour be not familiar road requirement colorado prey upon fact single old female travel alone rental agent employer ashame,30,October,2024
"The rental went fine enough, but the car was damaged in a parking lot by a third party.  Their insurance covered the damage, so all seems well, but Fox wasn't satisfied that the insurer wouldn't pay all their junk fees - and decided to hassle me about it instead.Just stay away.",1,CA,2024-03-22,Negative,rental go fine enough car damage parking lot third party insurance cover damage seem well fox be not satisfied insurer would not pay junk fee decide hassle insteadjust stay away,22,March,2024
Waited almost 3 jours in Line. Super slow service. Never rent there. ,1,SE,2024-11-02,Negative,wait almost jour line super slow service never rent,2,November,2024
"This company is an absolute scam, they will charge you so much more once you 're picking up the car - it's suppose to be cheap, it's not. Staff is super rude and talk to you like you're an idiot and laugh at you - they also lied right to my face to sell their own insurance. The vehicles were completely dirty, no washing liquid for the windows, poor quailty for the car overall and the the oil lamp was going off, I had to call in and they said the lamp was broken. ",1,US,2024-09-30,Negative,company absolute scam charge much picking car suppose cheap staff super rude talk like you re idiot laugh also lie right face sell insurance vehicle completely dirty washing liquid window poor quailty car overall oil lamp going call say lamp break,30,September,2024
The rented car was not available and they gave me another car but only after an increment of over 50 USD for the rentalWhen I called to costumer center they told me to go back to the rental office and get a new car!!I had to extend the lease fro one day. In the agreement I got a price of 40 USD for the extension when I called they added 20 USD penalty that was never indicated in the contract only in the small letters of the general agreement text,1,GB,2024-10-19,Negative,rent car available give another car increment usd rentalwhen call costumer center tell go back rental office get new cari extend lease fro one day agreement get price usd extension call add usd penalty never indicate contract small letter general agreement text,19,October,2024
"I recently had a fantastic experience with Fox Rental Car. From the moment I arrived, the staff was friendly and efficient, making the check-in process quick and hassle-free. The vehicle I rented was not clean and not well-maintained, but surve the purpose. The car was new. What impressed me the most was the transparent pricing—there were no hidden fees, which is often a concern with rental companies. Additionally, their return process was seamless, allowing me to drop off the car without any delays.Overall, I highly recommend  for anyone in need of a rental car. Their excellent customer service, great vehicle selection, and straightforward pricing made my trip all the more enjoyable!and returned my deposit instantly. ",5,US,2024-10-22,Positive,recently fantastic experience fox rental car moment arrive staff friendly efficient make checkin process quick hasslefree vehicle rent clean wellmaintaine surve purpose car new impress transparent pricingthere hide fee often concern rental company additionally return process seamless allow drop car without delaysoverall highly recommend anyone need rental car excellent customer service great vehicle selection straightforward pricing make trip enjoyableand return deposit instantly,22,October,2024
"We reserved a car a Fox Rental Orlando. I called while we were waiting at the luggage carousel, to let them know we had arrived and that we would be cutting it close to our designated pick-up time. The girl reassured me there was no problem and the shuttle would be picking us up in a few minutes. After waiting at B11 for 30 minutes no shuttle had arrived, so I call again to be sure we're in the correct spot. She again reassures me it'll only be a few minutes. After nearly an hour of waiting for ""a few minutes"" I call again. We are tired from our long flight and waiting this long with 2 kids was a test in patience. As she is saying ""just a few more minutes the shuttle"" pulls up. Another guest was more upset than we were. The driver mumbled that he was here already. But he must have been invisible because the 4 in our party and the other man waiting never saw a shuttle. It was very frustrating. We won't rent from Fox again.",1,US,2024-10-15,Negative,reserve car fox rental orlando call wait luggage carousel let know arrive would cut close designate pickup time girl reassure problem shuttle would pick we minute wait b minute shuttle arrive call sure correct spot reassure it ll minute nearly hour waiting minute call tired long flight wait long kid test patience say minute shuttle pull another guest upset driver mumble already must invisible party man wait never see shuttle frustrating will not rent fox,15,October,2024
